date,killed_in_lebanon,palestine_children_tfp,palestine_adults_tfp,israel_children,israel_adults,palestine_total,palestine_children_adj,palestine_contested,palestine_adults_adj
2024-05-26,503,15239,20745,24,1527,35984,11153.321686466341,4085.678313533659,20745
2024-05-27,507,15239,20811,24,1527,36050,11173.778534824132,4065.2214651758677,20811
2024-05-28,507,15328,20768,24,1527,36096,11188.036338225018,4139.963661774982,20768
2024-05-29,507,15328,20843,24,1535,36171,11211.282756813416,4116.717243186584,20843
2024-05-30,509,15328,20896,24,1535,36224,11227.710225949219,4100.2897740507815,20896
2024-05-31,512,15328,20956,24,1538,36284,11246.30736081994,4081.6926391800607,20956
2024-06-01,513,15328,21051,24,1538,36379,11275.752824365245,4052.247175634755,21051
2024-06-02,515,15348,21091,24,1538,36439,11294.349959235966,4053.650040764034,21091
2024-06-03,518,15348,21131,24,1538,36479,11306.748049149779,4041.251950850221,21131
2024-06-04,519,15348,21202,24,1538,36550,11328.754658746797,4019.245341253203,21202
2024-06-05,519,15348,21238,24,1538,36586,11339.912939669228,4008.087060330772,21238
2024-06-06,520,15348,21306,24,1538,36654,11360.989692522711,3987.0103074772887,21306
2024-06-07,520,15517,21214,24,1539,36731,11384.856015606802,4132.1439843931985,21214
2024-06-08,524,15517,21284,24,1539,36801,11406.552672955975,4110.447327044025,21284
2024-06-09,528,15517,21567,24,1539,37084,11494.269159096202,4022.730840903798,21567
2024-06-10,533,15517,21607,24,1540,37124,11506.667249010015,4010.3327509899846,21607
2024-06-11,538,15517,21647,24,1540,37164,11519.065338923829,3997.9346610761713,21647
2024-06-12,539,15694,21508,24,1540,37202,11530.843524341952,4163.156475658048,21508
2024-06-13,541,15694,21538,24,1540,37232,11540.142091777312,4153.857908222688,21538
2024-06-14,541,15694,21572,24,1544,37266,11550.680468204053,4143.319531795947,21572
2024-06-15,542,15694,21602,24,1544,37296,11559.979035639413,4134.020964360587,21602
2024-06-16,542,15694,21643,24,1544,37337,11572.68707780107,4121.312922198929,21643
2024-06-17,543,15747,21600,24,1544,37347,11575.786600279525,4171.213399720475,21600
2024-06-18,544,15747,21625,24,1544,37372,11583.535406475658,4163.4645935243425,21625
2024-06-19,548,15747,21649,24,1544,37396,11590.974260423945,4156.025739576055,21649
2024-06-20,550,15747,21684,24,1544,37431,11601.822589098532,4145.177410901468,21684
2024-06-21,550,15747,21703,24,1557,37450,11607.711681807594,4139.288318192406,21703
2024-06-22,552,15821,21730,24,1557,37551,11639.016858839972,4181.983141160028,21730
2024-06-23,552,15821,21777,24,1557,37598,11653.584614488702,4167.415385511298,21777
2024-06-24,552,15821,21805,24,1558,37626,11662.263277428372,4158.736722571628,21805
2024-06-24,552,15821,21805,24,1559,37626,11662.263277428372,4158.736722571628,21805
2024-06-25,552,15821,21837,24,1559,37658,11672.181749359423,4148.818250640577,21837
2024-06-26,552,15821,21897,24,1559,37718,11690.778884230142,4130.221115769858,21897
2024-06-27,558,15882,21883,24,1559,37765,11705.346639878871,4176.653360121129,21883
2024-06-28,560,15882,21912,24,1559,37794,11714.335255066388,4167.664744933612,21912
2024-06-29,561,15882,21952,24,1559,37834,11726.7333449802,4155.266655019799,21952
2024-06-30,564,15882,21995,24,1559,37877,11740.061291637548,4141.9387083624515,21995
2024-07-01,565,15882,22018,24,1562,37900,11747.190193337992,4134.809806662008,22018
2024-07-02,566,15919,22006,24,1562,37925,11754.938999534124,4164.061000465876,22006
2024-07-03,568,15919,22034,24,1562,37953,11763.617662473795,4155.382337526205,22034
2024-07-04,569,15919,22092,24,1562,38011,11781.594892848823,4137.405107151177,22092
2024-07-05,569,15919,22150,24,1568,38069,11799.572123223852,4119.427876776148,22150
2024-07-06,570,15919,22179,24,1568,38098,11808.560738411366,4110.439261588634,22179
2024-07-07,570,15983,22170,24,1568,38153,11825.60811204286,4157.391887957139,22170
2024-07-08,571,15983,22210,24,1569,38193,11838.006201956674,4144.993798043326,22210
2024-07-09,572,15983,22260,24,1569,38243,11853.50381434894,4129.49618565106,22260
2024-07-10,572,15983,22312,24,1569,38295,11869.621331236896,4113.378668763104,22312
2024-07-11,572,16054,22291,24,1569,38345,11885.118943629164,4168.881056370836,22291
